Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
2769,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
2770,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
2771,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
2772,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
2773,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
2774,Common Cold,Sneezing, Runny nose, Sore throat, Cough
2775,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
2776,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
2777,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
2778,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
2779,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
2780,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
2781,Dermatitis,Itching, Redness, Swelling, Skin irritation
2782,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
2783,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
2784,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
2785,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
2786,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
2787,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
2788,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
2789,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
2790,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
2791,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
2792,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
2793,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
2794,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
2795,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
2796,Gout,Joint pain, Redness, Swelling, Warmth
2797,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
2798,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
2799,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
2800,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
2801,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
2802,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
2803,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
2804,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
2805,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
2806,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
2807,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
2808,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
2809,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
2810,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
2811,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
2812,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
2813,Impetigo,Red sores, Itching, Blisters, Skin crusting
2814,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
2815,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
2816,Influenza,Fever, Chills, Body aches, Sore throat
2817,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
2818,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
2819,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
2820,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
2821,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
2822,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
2823,Malaria,High fever, Chills, Sweating, Muscle pain
2824,Measles,Fever, Rash, Cough, Runny nose
2825,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
2826,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
2827,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
2828,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
2829,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
2830,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
2831,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
2832,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
2833,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
2834,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
2835,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
2836,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
2837,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
2838,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
2839,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
2840,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
2841,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
2842,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
2843,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
2844,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
2845,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
2846,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
2847,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
2848,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
2849,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
2850,Typhoid,High fever, Weakness, Abdominal pain, Rash
2851,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
2852,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
2853,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
2854,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
2855,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
2856,AIDS,Fever, Fatigue, Weight loss, Frequent infections
2857,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
2858,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
2859,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
2860,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
2861,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
2862,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
2863,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
2864,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
2865,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
2866,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
2867,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
2868,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
2869,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
2870,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
2871,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
2872,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
2873,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
2874,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
2875,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
2876,Common Cold,Sneezing, Runny nose, Sore throat, Cough
2877,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
2878,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
2879,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
2880,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
2881,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
2882,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
2883,Dermatitis,Itching, Redness, Swelling, Skin irritation
2884,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
2885,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
2886,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
2887,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
2888,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
2889,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
2890,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
2891,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
2892,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
2893,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
2894,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
2895,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
2896,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
2897,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
2898,Gout,Joint pain, Redness, Swelling, Warmth
2899,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
2900,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
2901,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
2902,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
2903,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
2904,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
2905,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
2906,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
2907,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
2908,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
2909,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
2910,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
2911,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
2912,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
2913,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
2914,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
2915,Impetigo,Red sores, Itching, Blisters, Skin crusting
2916,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
2917,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
2918,Influenza,Fever, Chills, Body aches, Sore throat
2919,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
2920,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
2921,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
2922,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
2923,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
2924,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
2925,Malaria,High fever, Chills, Sweating, Muscle pain
2926,Measles,Fever, Rash, Cough, Runny nose
2927,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
2928,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
2929,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
2930,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
2931,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
2932,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
2933,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
2934,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
2935,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
2936,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
2937,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
2938,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
2939,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
2940,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
2941,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
2942,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
2943,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
2944,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
2945,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
2946,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
2947,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
2948,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
2949,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
2950,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
2951,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
2952,Typhoid,High fever, Weakness, Abdominal pain, Rash
2953,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
2954,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
2955,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
2956,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
2957,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
2958,AIDS,Fever, Fatigue, Weight loss, Frequent infections
2959,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
2960,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
2961,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
2962,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
2963,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
2964,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
2965,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
2966,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
2967,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
2968,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
2969,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
2970,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
2971,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
2972,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
2973,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
2974,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
2975,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
2976,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
2977,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
2978,Common Cold,Sneezing, Runny nose, Sore throat, Cough
2979,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
2980,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
2981,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
2982,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
2983,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
2984,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
2985,Dermatitis,Itching, Redness, Swelling, Skin irritation
2986,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
2987,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
2988,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
2989,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
2990,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
2991,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
2992,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
2993,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
2994,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
2995,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
2996,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
2997,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
2998,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
2999,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
3000,Gout,Joint pain, Redness, Swelling, Warmth
3001,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
3002,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
3003,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
3004,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
3005,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
3006,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
3007,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
3008,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
3009,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
3010,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
3011,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
3012,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
3013,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
3014,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
3015,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
3016,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
3017,Impetigo,Red sores, Itching, Blisters, Skin crusting
3018,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
3019,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
3020,Influenza,Fever, Chills, Body aches, Sore throat
3021,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
3022,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
3023,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
3024,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
3025,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
3026,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
3027,Malaria,High fever, Chills, Sweating, Muscle pain
3028,Measles,Fever, Rash, Cough, Runny nose
3029,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
3030,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
3031,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
3032,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
3033,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
3034,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
3035,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
3036,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
3037,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
3038,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
3039,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
3040,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
3041,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
3042,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
3043,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
3044,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
3045,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
3046,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
3047,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
3048,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
3049,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
3050,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
3051,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
3052,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
3053,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
3054,Typhoid,High fever, Weakness, Abdominal pain, Rash
3055,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
3056,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
3057,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
3058,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
3059,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
3060,AIDS,Fever, Fatigue, Weight loss, Frequent infections
3061,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
3062,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
3063,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
3064,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
3065,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
3066,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
3067,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
3068,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
3069,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
3070,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
3071,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
3072,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
3073,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
3074,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
3075,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
3076,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
3077,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
3078,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
3079,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
3080,Common Cold,Sneezing, Runny nose, Sore throat, Cough
3081,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
3082,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
3083,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
3084,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
3085,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
3086,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
3087,Dermatitis,Itching, Redness, Swelling, Skin irritation
3088,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
3089,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
3090,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
3091,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
3092,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
3093,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
3094,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
3095,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
3096,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
3097,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
3098,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
3099,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
3100,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
3101,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
3102,Gout,Joint pain, Redness, Swelling, Warmth
3103,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
3104,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
3105,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
3106,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
3107,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
3108,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
3109,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
3110,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
3111,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
3112,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
3113,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
3114,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
3115,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
3116,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
3117,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
3118,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
3119,Impetigo,Red sores, Itching, Blisters, Skin crusting
3120,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
3121,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
3122,Influenza,Fever, Chills, Body aches, Sore throat
3123,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
3124,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
3125,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
3126,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
3127,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
3128,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
3129,Malaria,High fever, Chills, Sweating, Muscle pain
3130,Measles,Fever, Rash, Cough, Runny nose
3131,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
3132,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
3133,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
3134,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
3135,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
3136,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
3137,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
3138,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
3139,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
3140,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
3141,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
3142,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
3143,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
3144,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
3145,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
3146,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
3147,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
3148,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
3149,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
3150,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
3151,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
3152,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
